text@iau1978m	@iau1978m	95.785	115.06	ааа // и / вот недавно смотрел / и / вы там и... / периодически ссылаетесь / иногда / вы и другие видеоблогеры / на нашу передачу когда приходит к нам видеоблогер // и / соответственно я понимаю что это какая-то / ну в общем / кто-то может вас после этого раскритиковать после этого визита / кто-то может быть наоборот похвалить // как вы думаете / чем закончится ваш визит к нам / среди блогеров / будет ли какой-то #нрзб# ?
text@iau1978m	@iau1978m	121.75	122.63	все ! не #нрзб# / достаточно //
text@iau1978m	@iau1978m	123.205	124.11	достаточно //
text@iau1978m	@iau1978m	126.82	128.15	не зашкварно у нас присутствовать ?
text@iau1978m	@iau1978m	129.13	131.87	а то что бы одна из самых последних программ на телевидении / зачем вы так сказали ?
text@iau1978m	@iau1978m	132.92	137.88	ааа // хорошо // ааа / ну расскажите ну так представьте / то есть вы думаете никаких / никаких не будет по этому поводу проблем //
text@iau1978m	@iau1978m	149.001	159.64	вот вы кстати / я обратил внимание / вы критикуете людей // вы / много / вы в своих / ааа / вы собственно и / на первый канал однажды приходили / и тоже здесь с критикой прошлись / по / ааа / судьбе изломанной //
text@iau1978m	@iau1978m	160.405	168.59	скажите пожалуйста / Николай / а вот себя вы могли бы за что-то покритиковать ? потому что вы человек / ну / успешный / человек / это даже / ну / это бросается в глаза //
text@iau1978m	@iau1978m	168.98	173.42	вот // вы выпускаете / простите меня / книги / толстые // пишете про ваш путь к успеху //
text@iau1978m	@iau1978m	175.64	176.75	и так далее // ааа //
text@iau1978m	@iau1978m	179.426	184.16	не не не не нет / я во... вы нисколько не заплатили // или / ну / кхм не вы / лично //
text@iau1978m	@iau1978m	184.513	191.97	вот  / ну // ааа // вы мне скажите просто / ааа / ну / ну правда / вы за что себя можете покритиковать ? вы к себе критично относитесь / Николай ?
text@iau1978m	@iau1978m	200.84	202.81	секунду / сек... секу... #смеется# //
text@iau1978m	@iau1978m	203.49	204.45	останови... подо... //
text@iau1978m	@iau1978m	205.62	211.02	подождите // вам не нра... покажите крупно эту обложку / вам не нрав... вы не не нравитесь себе на этой фотографии ?
text@iau1978m	@iau1978m	214.235	214.615	давайте //
text@iau1978m	@iau1978m	224.44	225.2	#нрзб#
text@iau1978m	@iau1978m	227.81	228.12	да //
text@iau1978m	@iau1978m	248.52	252.78	Николай / вот знаете / вы так об этом говорите // мне захотелось даже ваш поцеловать / понимаете //
text@iau1978m	@iau1978m	253.465	259.83	вы такой вот / человек / вот вы / захотелось / я хотелось позавидовал / школьникам которые / приходят на ваши лекции //
text@iau1978m	@iau1978m	263.157	265.22	вы в поле со... / вы в поле собирали людей ?
text@iau1978m	@iau1978m	271.595	272.195	остановитесь //
text@iau1978m	@iau1978m	275.95	280.59	как вы // в... в... умело управляете людскими массами / Николай !
text@iau1978m	@iau1978m	281.52	284.51	Николай / да вы это не / это несложно сделать // меня нужно просто / отравить //
text@iau1978m	@iau1978m	288.0	288.66	оххх / как !
text@iau1978m	@iau1978m	289.15	294.46	скажите / а // в... как вы думаете / как скоро будут видеоблогеры преподавать в вузах ? вам лет-то не много еще пока ? вам сколько лет ?
text@iau1978m	@iau1978m	295.035	295.4	вам ?
text@iau1978m	@iau1978m	296.11	297.68	вот смотрите / по костюму пятьдесят три //
text@iau1978m	@iau1978m	301.21	302.89	по румя... по румянцу двенадцать //
text@iau1978m	@iau1978m	303.98	309.98	вот // по ботинкам // сорок три проведенных на Кавказе // то есть / пока точно невозможно понять //
text@iau1978m	@iau1978m	313.62	321.66	суммерим / все это суммируем / делим на три // потому что / вы из Петербурга / тысяча семьсот третий год создания Петербурга / и получается двадцать четыре года //
text@iau1978m	@iau1978m	325.97	326.44	класс !
text@iau1978m	@iau1978m	330.15	333.12	ах вот вы куд... / я перейду на ты / ах вот ты куда метишь гад !
text@iau1978m	@iau1978m	334.45	350.39	Николай / слушайте / а серьезно / ну вот вы / смотрите / вы / я правда обратил внимание как вы себя держитесь / как вы на... на... как вы держите себя на публике / как вы / с публикой общаетесь / и вообще / а не задумывались над тем / ну / чтобы там / ну не сейчас / сейчас пока / а вот потом / в политику пойти ?
text@iau1978m	@iau1978m	352.21	355.74	с такой-то / книгой / с таким-то / лицом / и с такой-то обувью //
words@nyus1993m	@nyus1993m	36.66	37.01	господи
words@nyus1993m	@nyus1993m	37.01	37.36	как
words@nyus1993m	@nyus1993m	37.36	37.605	же
words@nyus1993m	@nyus1993m	37.605	38.02	приятно
words@nyus1993m	@nyus1993m	38.02	38.192	/
words@nyus1993m	@nyus1993m	38.192	38.6	присутствовать
words@nyus1993m	@nyus1993m	38.6	38.79	в
words@nyus1993m	@nyus1993m	38.79	39.23	телевизионной
words@nyus1993m	@nyus1993m	39.23	39.49	студии
words@nyus1993m	@nyus1993m	39.49	39.68	где
words@nyus1993m	@nyus1993m	39.68	39.86	/
words@nyus1993m	@nyus1993m	39.86	40.15	зрителям
words@nyus1993m	@nyus1993m	40.15	40.4	есть
words@nyus1993m	@nyus1993m	40.4	40.52	/
words@nyus1993m	@nyus1993m	40.52	40.71	ну
words@nyus1993m	@nyus1993m	40.71	40.9	/
words@nyus1993m	@nyus1993m	40.9	41.28	меньше
words@nyus1993m	@nyus1993m	41.28	41.78	пятидесяти
words@nyus1993m	@nyus1993m	41.78	41.96	лет
words@nyus1993m	@nyus1993m	41.96	42.06	/
words@nyus1993m	@nyus1993m	42.06	42.19	и
words@nyus1993m	@nyus1993m	42.19	42.27	/
words@nyus1993m	@nyus1993m	42.27	42.5	где
words@nyus1993m	@nyus1993m	42.5	43.02	меня
words@nyus1993m	@nyus1993m	43.02	43.36	представляют
words@nyus1993m	@nyus1993m	43.36	43.59	как
words@nyus1993m	@nyus1993m	43.59	44.06	Григория
words@nyus1993m	@nyus1993m	44.06	44.28	Лепса
words@nyus1993m	@nyus1993m	44.28	44.38	/
words@nyus1993m	@nyus1993m	44.38	44.54	/
words@nyus1993m	@nyus1993m	44.54	44.8	мечтал
words@nyus1993m	@nyus1993m	44.8	44.93	об
words@nyus1993m	@nyus1993m	44.93	45.17	этом
words@nyus1993m	@nyus1993m	45.17	45.35	/
words@nyus1993m	@nyus1993m	45.35	45.78	мечтал
words@nyus1993m	@nyus1993m	45.78	45.91	/
words@nyus1993m	@nyus1993m	45.91	46.02	/
words@nyus1993m	@nyus1993m	49.105	49.37	аххх
words@nyus1993m	@nyus1993m	49.37	49.46	/
words@nyus1993m	@nyus1993m	49.46	49.79	/
words@nyus1993m	@nyus1993m	49.79	50.02	да
words@nyus1993m	@nyus1993m	50.02	50.18	/
words@nyus1993m	@nyus1993m	50.18	50.493	в
words@nyus1993m	@nyus1993m	50.493	50.806	основном
words@nyus1993m	@nyus1993m	50.806	51.12	так
words@nyus1993m	@nyus1993m	51.12	51.35	и
words@nyus1993m	@nyus1993m	51.35	51.43	/
words@nyus1993m	@nyus1993m	51.43	51.77	получалось
words@nyus1993m	@nyus1993m	51.77	52.02	как-то
words@nyus1993m	@nyus1993m	52.02	52.27	так
words@nyus1993m	@nyus1993m	52.27	52.51	странно
words@nyus1993m	@nyus1993m	52.51	52.65	/
words@nyus1993m	@nyus1993m	52.65	52.765	/
words@nyus1993m	@nyus1993m	56.0	56.165	ааа
words@nyus1993m	@nyus1993m	56.165	56.33	/
words@nyus1993m	@nyus1993m	56.33	56.495	/
words@nyus1993m	@nyus1993m	56.495	56.66	давайте
words@nyus1993m	@nyus1993m	56.66	56.825	не
words@nyus1993m	@nyus1993m	56.825	56.99	будем
words@nyus1993m	@nyus1993m	56.99	57.155	об
words@nyus1993m	@nyus1993m	57.155	57.32	этом
words@nyus1993m	@nyus1993m	57.32	57.485	/
words@nyus1993m	@nyus1993m	57.485	57.65	Иван
words@nyus1993m	@nyus1993m	57.65	57.815	/
words@nyus1993m	@nyus1993m	57.815	57.99	/
words@nyus1993m	@nyus1993m	59.98	60.212	все-таки
words@nyus1993m	@nyus1993m	60.212	60.444	у
words@nyus1993m	@nyus1993m	60.444	60.676	нас
words@nyus1993m	@nyus1993m	60.676	60.908	/
words@nyus1993m	@nyus1993m	60.908	61.14	о
words@nyus1993m	@nyus1993m	61.14	61.372	бизнесе
words@nyus1993m	@nyus1993m	61.372	61.604	разговор
words@nyus1993m	@nyus1993m	61.604	61.836	/
words@nyus1993m	@nyus1993m	61.836	62.07	/
words@nyus1993m	@nyus1993m	65.002	65.227	я
words@nyus1993m	@nyus1993m	65.227	65.452	постарался
words@nyus1993m	@nyus1993m	65.452	65.677	/
words@nyus1993m	@nyus1993m	65.677	65.902	/
words@nyus1993m	@nyus1993m	66.192	66.397	я
words@nyus1993m	@nyus1993m	66.397	66.602	подготовился
words@nyus1993m	@nyus1993m	66.602	66.807	/
words@nyus1993m	@nyus1993m	66.807	67.012	/
words@nyus1993m	@nyus1993m	67.312	67.478	беру
words@nyus1993m	@nyus1993m	67.478	67.644	с
words@nyus1993m	@nyus1993m	67.644	67.81	вас
words@nyus1993m	@nyus1993m	67.81	67.976	пример
words@nyus1993m	@nyus1993m	67.976	68.142	/
words@nyus1993m	@nyus1993m	68.142	68.312	/
words@nyus1993m	@nyus1993m	78.35	78.571	не
words@nyus1993m	@nyus1993m	78.571	78.792	зря
words@nyus1993m	@nyus1993m	78.792	79.013	!
words@nyus1993m	@nyus1993m	79.013	79.234	не
words@nyus1993m	@nyus1993m	79.234	79.455	зря
words@nyus1993m	@nyus1993m	79.455	79.68	!
words@nyus1993m	@nyus1993m	95.34	95.516	ааа
words@nyus1993m	@nyus1993m	95.516	95.692	/
words@nyus1993m	@nyus1993m	95.692	95.87	/
words@nyus1993m	@nyus1993m	115.06	115.328	Иван
words@nyus1993m	@nyus1993m	115.328	115.596	/
words@nyus1993m	@nyus1993m	115.596	115.864	давайте
words@nyus1993m	@nyus1993m	115.864	116.132	комплимент
words@nyus1993m	@nyus1993m	116.132	116.4	вас
words@nyus1993m	@nyus1993m	116.4	116.668	сделаю
words@nyus1993m	@nyus1993m	116.668	116.936	/
words@nyus1993m	@nyus1993m	116.936	117.204	/
words@nyus1993m	@nyus1993m	117.204	117.472	эээ
words@nyus1993m	@nyus1993m	117.472	117.74	/
words@nyus1993m	@nyus1993m	117.74	118.008	Ива...
words@nyus1993m	@nyus1993m	118.008	118.276	Вечерний
words@nyus1993m	@nyus1993m	118.276	118.544	Ургант
words@nyus1993m	@nyus1993m	118.544	118.812	/
words@nyus1993m	@nyus1993m	118.812	119.08	это
words@nyus1993m	@nyus1993m	119.08	119.348	одна
words@nyus1993m	@nyus1993m	119.348	119.616	из
words@nyus1993m	@nyus1993m	119.616	119.884	последних
words@nyus1993m	@nyus1993m	119.884	120.152	передач
words@nyus1993m	@nyus1993m	120.152	120.42	на
words@nyus1993m	@nyus1993m	120.42	120.688	телевидении
words@nyus1993m	@nyus1993m	120.688	120.956	/
words@nyus1993m	@nyus1993m	120.956	121.224	где
words@nyus1993m	@nyus1993m	121.224	121.492	/
words@nyus1993m	@nyus1993m	121.492	121.78	/
words@nyus1993m	@nyus1993m	122.18	122.396	не
words@nyus1993m	@nyus1993m	122.396	122.612	зашкварно
words@nyus1993m	@nyus1993m	122.612	122.828	присутствовать
words@nyus1993m	@nyus1993m	122.828	123.044	/
words@nyus1993m	@nyus1993m	123.044	123.26	/
words@nyus1993m	@nyus1993m	124.44	124.631	поэтому
words@nyus1993m	@nyus1993m	124.631	124.822	я
words@nyus1993m	@nyus1993m	124.822	125.013	думаю
words@nyus1993m	@nyus1993m	125.013	125.204	/
words@nyus1993m	@nyus1993m	125.204	125.395	что
words@nyus1993m	@nyus1993m	125.395	125.586	/
words@nyus1993m	@nyus1993m	125.586	125.777	меня
words@nyus1993m	@nyus1993m	125.777	125.968	не
words@nyus1993m	@nyus1993m	125.968	126.159	будет
words@nyus1993m	@nyus1993m	126.159	126.35	никто
words@nyus1993m	@nyus1993m	126.35	126.541	критиковать
words@nyus1993m	@nyus1993m	126.541	126.732	/
